이름,유형,야간접근_현재,야간접근_조치후,필요조치,lon,lat,출처
영주아파트 새마을노인회,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.030078725744,35.1125808696177,kakao
영주2동 원로의집,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.03206199084195,35.11401113245497,kakao
동산경로당,경로당,0.1,1.0,★ 외벽 24시간 함체 설치,129.027011007028,35.1128809493685,kakao
영주파출소,파출소·지구대,1.0,1.0,없음(24시간 상주),129.032189690438,35.1119110594887,kakao
영주1동주민센터,주민센터,0.1,1.0,★ 외벽 24시간 함체 설치,129.035030119211,35.1111172192422,kakao
영주2동주민센터,주민센터,0.1,1.0,★ 외벽 24시간 함체 설치,129.031816971424,35.1115640496331,kakao
GS25 부산영주점,편의점,1.0,1.0,없음(이미 24시간),129.03524615974422,35.11098472315226,kakao
GS25 민주전망대점,편의점,1.0,1.0,없음(이미 24시간),129.03288925824,35.1151723858462,kakao
이마트24 부산금호점,편의점,1.0,1.0,없음(이미 24시간),129.0305666857577,35.111561576745984,kakao
GS25 부산터널점,편의점,1.0,1.0,없음(이미 24시간),129.032556596558,35.1123771205021,kakao
부산대영우편취급국,공공시설,0.1,1.0,★ 외벽 24시간 함체 설치,129.033446395377,35.1128776629694,kakao
탑세일마트 영주점,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.03046819492192,35.112012011706874,kakao
GS25 부산시티점,편의점,1.0,1.0,없음(이미 24시간),129.0398788560586,35.11425287639726,kakao
세븐일레븐 부산중앙대로점,편의점,1.0,1.0,없음(이미 24시간),129.03746370927473,35.110723065600716,kakao
세븐일레븐 부산역점,편의점,1.0,1.0,없음(이미 24시간),129.03871499026457,35.11516732759645,kakao
GS25 부산차이나타운점,편의점,1.0,1.0,없음(이미 24시간),129.037075725297,35.114168462472,kakao
CU 나눔라마다호텔점,편의점,1.0,1.0,없음(이미 24시간),129.0404250190171,35.11425269243377,kakao
GS25 부산역점,편의점,1.0,1.0,없음(이미 24시간),129.03953998723458,35.11557339004059,kakao
CU 부산역광장점,편의점,1.0,1.0,없음(이미 24시간),129.040526950645,35.1131948028073,kakao
세븐일레븐 부산아르미나점,편의점,1.0,1.0,없음(이미 24시간),129.035317299406,35.125833941133,kakao
빅마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.03020486718162,35.11134414818618,kakao
CU 부산제일점,편의점,1.0,1.0,없음(이미 24시간),129.039445186666,35.1133103412236,kakao
동일슈퍼,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.03330220782925,35.117048907843916,kakao
풍성한마트,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.034984982338,35.1126535758451,kakao
나들가게 진주유통,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.032137316961,35.1105529681656,kakao
청운슈퍼,마트,0.4,0.6,영업시간 외 외벽 함체 설치,129.030398877694,35.1102793147123,kakao
CU 유라시아플랫폼점,편의점,1.0,1.0,없음(이미 24시간),129.0411096763912,35.11611109182616,kakao
GS25 부산광장점,편의점,1.0,1.0,없음(이미 24시간),129.0401393650159,35.11291295407591,kakao
GS25 초량스타점,편의점,1.0,1.0,없음(이미 24시간),129.04192727438857,35.117669859758706,kakao
GS25 초량하니엘점,편의점,1.0,1.0,없음(이미 24시간),129.04362148913,35.1235845133003,kakao
GS25 범양레우스점,편의점,1.0,1.0,없음(이미 24시간),129.04204339529332,35.1213987488306,kakao
GS25 동구초량점,편의점,1.0,1.0,없음(이미 24시간),129.0446645024098,35.12283516610693,kakao
CU 부산초량제일점,편의점,1.0,1.0,없음(이미 24시간),129.043849775697,35.1217467819965,kakao
GS25 부산롯데드메르점,편의점,1.0,1.0,없음(이미 24시간),129.047098636433,35.1188135980492,kakao
세븐일레븐 부산로미오점,편의점,1.0,1.0,없음(이미 24시간),129.0437439476425,35.12102312533545,kakao
CU 초량지원더뷰점,편의점,1.0,1.0,없음(이미 24시간),129.0435728449401,35.12282294421939,kakao
세븐일레븐 초량한양점,편의점,1.0,1.0,없음(이미 24시간),129.042455236017,35.1186089927767,kakao
