TOT_OA_CD,ADM_CD,dong,oa_area_m2,cx,cy,entry_node,dist_station_m,p65,p75,p80,p75_2026,f_age,f_reach,risk,risk_norm,lon,lat
21030550010004,21030550,초량6동,38149.89362492674,385708.5279914231,282477.15206462215,1781803957,623.5980671766961,141.0,68.0,36.0,78.03019744483159,0.3184419264819209,0.15913810710631365,0.050676245403620784,0.3198480606264758,129.037181,35.121527
21030550010005,21030550,초량6동,28686.048022417246,385662.4495086922,282697.92698589526,7142059102,932.2217749407773,190.0,85.0,46.0,97.53774680603948,0.3980524081024011,0.23789683848607537,0.09469540943933027,0.5976793035506887,129.036726,35.123524
21030550010002,21030550,초량6동,31980.98115251385,385359.8684739657,282253.7829529876,3946654788,995.9557512269959,223.0,96.0,55.0,110.16027874564459,0.4495650726803589,0.25416132819250936,0.11426205598140202,0.721176099724113,129.033309,35.119579
21030550010003,21030550,초량6동,36943.24166431577,385590.64844731166,282457.7227160731,1781768156,959.9653357269732,151.0,73.0,38.0,83.7677119628339,0.3418567740173562,0.2449768119181501,0.0837469826313954,0.5285772409661808,129.035885,35.121374
21030550010001,21030550,초량6동,33333.700005432685,385441.2520845278,282959.0253550283,436798166,1172.8618350624122,154.0,74.0,45.0,84.91521486643437,0.3465397435244433,0.2993065921036337,0.10372162966276838,0.6546491719823361,129.034359,35.125917
21030550010010,21030550,초량6동,34463.86200307888,385497.3429970523,282631.7898979091,7142058990,1183.7280222141903,248.0,112.0,63.0,128.520325203252,0.524492584793752,0.30207957128015017,0.15843849515411443,1.0,129.034901,35.122959
21030550010008,21030550,초량6동,26374.700581749534,385219.4476298588,282307.49012739817,1781768334,1105.1369911000218,187.0,76.0,42.0,87.2102206736353,0.3559056825386175,0.2820236593308619,0.10037382296618894,0.6335191638152994,129.031781,35.120089
21030550010009,21030550,초량6동,44022.72384846489,385414.3763642655,282392.1851073839,1781768062,936.5597787213793,223.0,98.0,55.0,112.45528455284551,0.458931011694533,0.23900386839300006,0.10968628712050653,0.6922956887075566,129.033937,35.120816
21030550010006,21030550,초량6동,976451.1831614792,384961.8961784856,282721.00622822944,11283030115,1488.4298982528182,168.0,75.0,40.0,86.06271777003484,0.35122271303153035,0.37983747711212956,0.13340754922237397,0.8420147458015639,129.02905,35.123861
21030700010010,21030700,좌천동,32743.981361538663,386706.8684498011,284036.0905465828,436872090,794.0405677276757,173.0,83.0,45.0,85.81269254467036,0.3502023578736387,0.20263390726321853,0.07096287210872737,0.44788908175188863,129.048479,35.135385
